assunto;faixaetaria
Esporte/Lazer/Festa (equipamento de ginástica, camping, náutica, caça, pesca, artigo esportivo, bicicleta, piscina, etc.);entre 31 a 40 anos
Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc);entre 31 a 40 anos
Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc);entre 31 a 40 anos
Tablet;entre 21 a 30 anos
Telefonia Móvel Pós-paga;entre 41 a 50 anos
Aparelho celular;entre 41 a 50 anos
Conta corrente / Salário / Poupança /Conta Aposentadoria;entre 31 a 40 anos
Cartão de Crédito / Cartão de Débito / Cartão de Loja;entre 31 a 40 anos
Acessórios e periféricos ( monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc);entre 21 a 30 anos
Plano Odontológico (convênio, autogestão, seguro saúde );entre 31 a 40 anos
Tablet;entre 21 a 30 anos
Microcomputador e laptops;entre 21 a 30 anos
Cartão de Crédito / Cartão de Débito / Cartão de Loja;entre 21 a 30 anos
Demais aparelhos de comunicação;entre 31 a 40 anos
